iter	Passed	Remaining
409	4592	6609
410	4602	6596
411	4617	6590
412	4631	6582
413	4645	6575
414	4661	6571
415	4673	6560
416	4688	6554
417	4700	6544
418	4713	6535
419	4723	6523
420	4736	6513
421	4747	6502
422	4758	6490
423	4771	6482
424	4785	6473
425	4795	6461
426	4806	6449
427	4815	6435
428	4826	6423
429	4835	6410
430	4845	6396
431	4855	6384
432	4865	6370
433	4874	6357
434	4883	6343
435	4892	6329
436	4903	6317
437	4911	6302
438	4920	6287
439	4929	6273
440	4937	6258
441	4948	6247
442	4960	6236
443	4970	6223
444	4981	6212
445	4991	6199
446	5000	6185
447	5011	6175
448	5023	6164
449	5034	6153
450	5047	6144
451	5058	6133
452	5068	6120
453	5079	6108
454	5089	6095
455	5098	6082
456	5107	6068
457	5116	6055
458	5125	6040
459	5134	6027
460	5144	6014
461	5152	6000
462	5162	5987
463	5171	5973
464	5182	5962
465	5191	5948
466	5200	5935
467	5208	5921
468	5217	5907
469	5225	5892
470	5235	5880
471	5244	5866
472	5254	5854
473	5263	5841
474	5272	5828
475	5281	5813
476	5289	5799
477	5298	5786
478	5307	5772
479	5319	5762
480	5327	5748
481	5336	5734
482	5345	5721
483	5355	5709
484	5364	5696
485	5373	5683
486	5382	5669
487	5390	5655
488	5399	5642
489	5407	5628
490	5416	5615
491	5426	5602
492	5435	5590
493	5445	5577
494	5457	5568
495	5467	5555
496	5476	5542
497	5484	5528
498	5494	5516
499	5503	5503
500	5512	5490
501	5519	5475
502	5529	5463
503	5537	5449
504	5547	5437
505	5556	5424
506	5566	5413
507	5579	5403
508	5591	5394
509	5601	5382
510	5610	5369
511	5620	5356
512	5629	5344
513	5640	5332
514	5650	5321
515	5659	5308
516	5670	5297
517	5680	5285
518	5689	5273
519	5698	5259
520	5706	5246
521	5715	5233
522	5723	5220
523	5734	5209
524	5745	5198
525	5755	5186
526	5765	5175
527	5775	5162
528	5783	5149
529	5792	5136
530	5804	5126
531	5816	5116
532	5827	5106
533	5837	5093
534	5846	5081
535	5855	5069
536	5866	5057
537	5877	5047
538	5887	5035
539	5897	5023
540	5905	5010
541	5912	4996
542	5920	4982
543	5927	4968
544	5935	4955
545	5944	4942
546	5951	4928
547	5958	4914
548	5966	4901
549	5973	4887
550	5984	4876
551	5993	4864
552	6003	4852
553	6015	4842
554	6023	4829
555	6032	4817
556	6042	4805
557	6050	4792
558	6059	4780
559	6067	4767
560	6075	4753
561	6083	4741
562	6090	4727
563	6098	4714
564	6105	4701
565	6114	4688
566	6121	4674
567	6129	4661
568	6137	4649
569	6145	4636
570	6155	4624
571	6162	4611
572	6170	4598
573	6177	4585
574	6185	4571
575	6193	4559
576	6200	4545
577	6209	4533
578	6216	4520
579	6224	4507
580	6233	4495
581	6240	4482
582	6248	4469
583	6256	4456
584	6264	4444
585	6274	4432
586	6285	4422
587	6297	4412
588	6308	4401
589	6316	4389
590	6329	4380
591	6340	4370
592	6354	4361
593	6364	4349
594	6374	4338
595	6382	4326
596	6391	4314
597	6399	4302
598	6408	4290
599	6415	4277
600	6427	4267
601	6437	4256
602	6447	4244
603	6456	4232
604	6464	4220
605	6473	4208
606	6482	4196
607	6490	4184
608	6500	4173
609	6509	4161
610	6520	4151
611	6529	4139
612	6539	4128
613	6549	4117
614	6558	4106
615	6571	4096
616	6582	4086
617	6591	4074
618	6604	4065
619	6614	4053
620	6623	4042
621	6632	4030
622	6642	4019
623	6649	4006
624	6657	3994
625	6666	3982
626	6673	3970
627	6681	3958
628	6689	3945
629	6697	3933
630	6705	3920
631	6715	3910
632	6725	3899
633	6733	3887
634	6742	3875
635	6750	3863
636	6757	3850
637	6765	3838
638	6772	3826
639	6780	3814
640	6788	3801
641	6796	3789
642	6803	3777
643	6811	3765
644	6819	3753
645	6827	3741
646	6835	3729
647	6842	3717
648	6901	3732
649	6936	3734
650	6950	3726
651	6960	3715
652	6969	3703
653	6988	3697
654	7003	3688
655	7013	3677
656	7024	3667
657	7035	3656
658	7047	3646
659	7055	3634
660	7064	3623
661	7073	3611
662	7081	3599
663	7091	3588
664	7102	3577
665	7109	3565
666	7118	3553
667	7126	3541
668	7135	3530
669	7147	3520
670	7154	3508
671	7163	3496
672	7170	3484
673	7178	3472
674	7185	3459
