iter	Logloss
0	0.6602523548
1	0.6290135339
2	0.594324265
3	0.5658153252
4	0.5400367332
5	0.5189968932
6	0.49622202
7	0.4739651967
8	0.4581240589
9	0.4403601613
10	0.425373056
11	0.4135824125
12	0.4004703311
13	0.3902500913
14	0.3796280608
15	0.3711088623
16	0.3613618973
17	0.3542005043
18	0.3477692258
19	0.3401535278
20	0.334581129
21	0.328470065
22	0.322467754
23	0.3179625767
24	0.3139715642
25	0.3089741304
26	0.30463159
27	0.3010185793
28	0.2975019288
29	0.2939798778
30	0.2889192549
31	0.2866953548
32	0.283573427
33	0.2807410519
34	0.278300565
35	0.2753091346
36	0.2733672015
37	0.2709077885
38	0.2694979772
39	0.2677291371
40	0.2663449024
41	0.2648189903
42	0.2639185556
43	0.2620667517
44	0.2611899907
45	0.2601458012
46	0.2587846267
47	0.2573745812
48	0.2564755644
49	0.2550253973
50	0.2540869843
51	0.253157138
52	0.2517399846
53	0.2510992554
54	0.2502236351
55	0.2486036805
56	0.2478734934
57	0.2466032646
58	0.24595344
59	0.2451809982
60	0.2439875756
61	0.2427177102
62	0.2422965555
63	0.2407780805
64	0.2405223973
65	0.2393164866
66	0.2384952033
67	0.2378792843
68	0.2374489603
69	0.2371341222
70	0.2368216555
71	0.2361788388
72	0.2357963943
73	0.2352243616
74	0.2346501134
75	0.2340263587
76	0.2337064635
77	0.2331725805
78	0.2329621563
79	0.2323857354
80	0.2319066915
81	0.2312108648
82	0.2309144486
83	0.2306489281
84	0.2303335281
85	0.2300296432
86	0.229654366
87	0.2293961468
88	0.2290533333
89	0.2288725742
90	0.2285834495
91	0.2284269931
92	0.2282026449
93	0.2275727513
94	0.22720556
95	0.2266905861
96	0.2263893391
97	0.2257155166
98	0.2253200541
99	0.2251397152
100	0.2246473372
101	0.2244268036
102	0.2242916562
103	0.224016837
104	0.2237755361
105	0.223392302
106	0.223185102
107	0.2220836451
108	0.2218557535
109	0.2217052654
110	0.2214152613
111	0.221221007
112	0.2209613641
113	0.2208012672
114	0.2205166538
115	0.2203645579
116	0.2201126197
117	0.2200163516
118	0.2199263706
119	0.2198068082
120	0.219569658
121	0.2194082878
122	0.2191433328
123	0.2189017913
124	0.2183767166
125	0.2181797721
126	0.218010656
127	0.2179346971
128	0.2178201331
129	0.2176192463
130	0.2173793117
131	0.217262182
132	0.216985367
133	0.2168315415
134	0.2166058038
135	0.216485662
136	0.2162691128
137	0.2161233904
138	0.2157567703
139	0.2155508374
140	0.2155003125
141	0.2153611459
142	0.2152023859
143	0.2149967371
144	0.2148779907
145	0.2148072656
146	0.2145542642
147	0.2144251574
148	0.214277997
149	0.2141785754
150	0.2140572403
151	0.2136561646
152	0.2136012076
153	0.2135607763
154	0.2134337022
155	0.213382049
156	0.2132730306
157	0.2129115462
158	0.2127753015
159	0.2126793185
160	0.2125431752
161	0.2124365915
162	0.2122516335
163	0.21184717
164	0.2117723575
165	0.2116177092
166	0.2114977362
167	0.2114082999
168	0.2113130724
169	0.211244958
170	0.2111538888
171	0.2109655874
172	0.2108852203
173	0.2108105527
174	0.2106978425
175	0.2105992023
176	0.2105320412
177	0.2104461472
178	0.2103686638
179	0.2102802962
180	0.2102133473
181	0.2101013282
182	0.2100000515
183	0.2099219595
184	0.2098177234
185	0.2097018784
186	0.2096214173
187	0.209556209
188	0.2095033335
189	0.2094424393
190	0.2093346588
191	0.209257511
192	0.2091971782
193	0.2091144096
194	0.2090707321
195	0.2090028197
196	0.2089441282
197	0.2087787506
198	0.2087060508
199	0.2084494289
200	0.2083106052
201	0.2082196775
202	0.2081127925
203	0.2080802649
204	0.2078745209
205	0.2078074409
206	0.2077234378
207	0.2076220879
208	0.2075257137
209	0.2074421015
210	0.2073154318
211	0.2072486842
212	0.2071650967
213	0.2071251721
214	0.2069923625
215	0.2068353588
216	0.2067282501
217	0.2065656641
218	0.20645942
219	0.2064510799
220	0.2063405924
221	0.2062807787
222	0.206224224
223	0.2061881241
224	0.2061639011
225	0.2061168828
226	0.206043871
227	0.205713929
228	0.2055699409
229	0.2055316641
230	0.2054286502
231	0.2053161028
232	0.2051767436
233	0.2050073867
234	0.2045124089
235	0.2044299896
236	0.2043980991
237	0.2041361784
238	0.2040341186
239	0.2039202776
240	0.2037022391
241	0.2035084233
242	0.2033780834
243	0.2033476993
244	0.2032928644
245	0.2031607844
246	0.2029922039
247	0.2028542643
248	0.2027711309
249	0.2026387206
250	0.2025241371
251	0.202484205
252	0.2023203974
253	0.2021864558
254	0.2020742156
255	0.2020418929
256	0.201984978
257	0.2017803387
258	0.2016696328
259	0.2015819679
260	0.2014515153
261	0.2014002803
262	0.2012906153
263	0.2011753955
264	0.2010735285
265	0.2010014722
266	0.200906042
267	0.2008235565
268	0.2007195747
269	0.2006901841
270	0.2005268756
271	0.2003417193
272	0.2002825212
273	0.2001584913
274	0.2000406387
275	0.1998242635
