iter	Passed	Remaining
407	4043	5867
408	4051	5854
409	4058	5840
410	4065	5826
411	4072	5812
412	4079	5797
413	4085	5783
414	4093	5770
415	4099	5755
416	4107	5742
417	4114	5728
418	4121	5714
419	4128	5701
420	4134	5686
421	4144	5677
422	4152	5664
423	4159	5650
424	4166	5636
425	4172	5622
426	4180	5609
427	4195	5606
428	4201	5591
429	4208	5578
430	4214	5564
431	4221	5549
432	4227	5536
433	4235	5523
434	4243	5511
435	4250	5498
436	4257	5484
437	4266	5473
438	4275	5463
439	4289	5459
440	4301	5452
441	4315	5447
442	4325	5438
443	4334	5427
444	4340	5413
445	4349	5402
446	4360	5394
447	4369	5384
448	4383	5379
449	4392	5369
450	4402	5359
451	4413	5351
452	4424	5342
453	4443	5343
454	4457	5339
455	4468	5330
456	4478	5321
457	4487	5310
458	4495	5298
459	4503	5287
460	4511	5274
461	4518	5262
462	4526	5249
463	4534	5237
464	4542	5226
465	4550	5214
466	4557	5201
467	4565	5189
468	4573	5178
469	4583	5168
470	4593	5158
471	4600	5146
472	4613	5139
473	4623	5130
474	4632	5120
475	4642	5110
476	4651	5100
477	4661	5090
478	4681	5092
479	4695	5087
480	4706	5078
481	4715	5067
482	4723	5056
483	4733	5046
484	4744	5037
485	4753	5027
486	4763	5017
487	4772	5006
488	4779	4994
489	4786	4981
490	4794	4970
491	4800	4957
492	4808	4945
493	4816	4933
494	4823	4920
495	4829	4907
496	4836	4894
497	4844	4882
498	4850	4870
499	4858	4858
500	4865	4846
501	4872	4834
502	4880	4822
503	4929	4850
504	4942	4844
505	4951	4834
506	4970	4833
507	4979	4822
508	4987	4811
509	4996	4800
510	5004	4789
511	5013	4778
512	5022	4768
513	5031	4757
514	5039	4746
515	5047	4734
516	5055	4723
517	5064	4712
518	5072	4700
519	5081	4690
520	5089	4679
521	5097	4667
522	5106	4657
523	5114	4646
524	5124	4636
525	5133	4626
526	5142	4615
527	5150	4604
528	5161	4595
529	5169	4584
530	5177	4573
531	5187	4563
532	5195	4552
533	5202	4540
534	5211	4529
535	5219	4518
536	5227	4506
537	5236	4496
538	5245	4486
539	5255	4476
540	5264	4466
541	5276	4458
542	5284	4447
543	5294	4438
544	5302	4426
545	5310	4415
546	5318	4404
547	5325	4392
548	5334	4381
549	5342	4370
550	5350	4360
551	5359	4350
552	5369	4340
553	5377	4328
554	5391	4322
555	5401	4313
556	5412	4304
557	5425	4297
558	5437	4289
559	5448	4280
560	5457	4270
561	5468	4261
562	5480	4253
563	5493	4246
564	5502	4236
565	5515	4228
566	5528	4221
567	5542	4215
568	5556	4208
569	5568	4200
570	5581	4193
571	5593	4185
572	5605	4177
573	5614	4167
574	5629	4160
575	5641	4152
576	5653	4144
577	5663	4135
578	5675	4126
579	5688	4119
580	5701	4111
581	5715	4104
582	5728	4097
583	5738	4087
584	5749	4079
585	5760	4069
586	5770	4059
587	5781	4051
588	5789	4040
589	5798	4029
590	5807	4018
591	5816	4008
592	5823	3997
593	5832	3986
594	5841	3975
595	5849	3965
596	5856	3953
597	5865	3943
598	5873	3931
599	5880	3920
600	5889	3909
601	5897	3898
602	5906	3888
603	5915	3878
604	5922	3866
605	5930	3855
606	5937	3844
607	5944	3832
608	5954	3822
609	5961	3811
610	5970	3801
611	5980	3791
612	5991	3782
613	5998	3770
614	6005	3759
615	6012	3748
616	6019	3736
617	6027	3725
618	6034	3714
619	6042	3703
620	6049	3691
621	6056	3680
622	6064	3669
623	6071	3658
624	6080	3648
625	6090	3638
626	6097	3627
627	6105	3616
628	6113	3605
629	6121	3595
630	6129	3584
631	6137	3573
632	6145	3563
633	6153	3552
634	6161	3541
635	6169	3530
636	6177	3520
637	6185	3509
638	6193	3498
639	6201	3488
640	6209	3477
641	6219	3468
642	6227	3457
643	6236	3447
644	6244	3436
645	6251	3425
646	6260	3415
647	6269	3405
648	6278	3395
649	6288	3386
650	6297	3375
651	6304	3365
652	6313	3354
653	6321	3344
654	6329	3333
655	6336	3322
656	6350	3315
657	6362	3307
658	6374	3298
659	6383	3288
660	6393	3278
661	6401	3268
662	6408	3257
663	6417	3247
664	6425	3236
665	6434	3226
666	6441	3215
667	6450	3205
668	6458	3195
669	6466	3184
670	6474	3174
671	6481	3163
672	6490	3153
673	6498	3143
674	6506	3132
675	6514	3122
676	6521	3111
677	6530	3101
678	6540	3092
679	6550	3082
680	6560	3073
681	6570	3063
682	6578	3053
683	6587	3043
684	6595	3032
685	6602	3022
686	6611	3012
687	6618	3001
688	6627	2991
689	6635	2981
690	6643	2970
691	6651	2960
692	6658	2949
693	6666	2939
694	6674	2929
695	6682	2918
696	6690	2908
697	6699	2898
698	6707	2888
699	6714	2877
700	6722	2867
701	6729	2856
702	6738	2846
703	6746	2836
704	6754	2826
705	6762	2815
706	6770	2805
707	6777	2795
708	6785	2784
709	6793	2774
710	6800	2764
711	6809	2754
712	6816	2743
713	6824	2733
714	6831	2723
715	6839	2712
716	6847	2702
